Code,Item,Group,Region_Number,Region_Name,State_Name,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
1,Personal Health Care (Millions of Dollars),United States,0,United States,,216977,251789,283073,311677,341645,376376,408840,447696,498497,550414,615326,675896,731455,778684,820172,869578,917540,969531,1026103,1086280,1162035,1261944,1367628,1477697,1587994,1696222,1804672,1918820,2010690,2114221,2194625,2272582,2365948,2435624,2562824,7.5
1,Personal Health Care (Millions of Dollars),Region,1,New England,,12960,14845,16759,18429,20253,22026,24301,27125,30884,34815,38464,41477,44196,47217,49223,52692,55343,58676,62958,65918,70276,76270,82914,89303,95927,101778,108738,115872,121781,128637,132200,135694,140221,144165,149143,7.4
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,43479,49604,55406,61165,68154,74499,81176,90297,100400,110943,123881,135263,146728,155806,164315,173134,180385,189150,198757,210833,224364,242013,260926,282044,300588,318095,336075,354712,368113,387521,402453,416143,425671,438511,459604,7.2
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,40658,46668,51440,55967,60776,65910,71220,76436,84258,91782,101415,110967,119812,127388,134018,141914,149664,156949,163902,172998,185042,200839,216333,232051,248528,263238,279748,295733,306028,322865,335417,345742,360561,369043,387550,6.9
1,Personal Health Care (Millions of Dollars),Region,4,Plains,,16980,19682,21919,23940,25684,28149,30053,32401,35630,39235,43503,47059,50160,53213,57054,60571,64338,68168,73409,77831,83865,90838,98449,105805,112494,119038,125570,134491,141389,147604,153558,159899,166329,170656,178379,7.2
1,Personal Health Care (Millions of Dollars),Region,5,Southeast,,43501,50965,57912,64889,71916,79666,87598,96671,108782,121673,137984,153188,166459,179069,190187,203085,216732,231812,243086,257898,278958,302799,327272,353924,384621,409794,436719,462216,483670,508776,523768,539938,564515,577726,609667,8.1
1,Personal Health Care (Millions of Dollars),Region,6,Southwest,,18791,22451,25749,28425,31089,34845,37400,40472,44865,49485,55801,61732,67273,72050,76024,81931,87882,94196,100003,106939,113764,124426,136600,146506,157447,174165,186745,199383,212986,225254,234856,244002,255869,263176,279590,8.3
1,Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5462,6497,7407,8200,8925,9890,10533,11454,12715,13815,15449,17086,18540,19864,20987,22659,24246,26084,28145,29857,32889,35882,39245,42462,45651,48470,52519,56405,59519,62680,65233,67931,71160,74166,78976,8.2
1,Personal Health Care (Millions of Dollars),Region,8,Far West,,35146,41078,46480,50661,54848,61393,66561,72839,80962,88667,98829,109123,118287,124077,128363,133593,138951,144496,155842,164006,172877,188878,205889,225601,242739,261643,278558,300008,317204,330883,347140,363233,381622,398180,419915,7.6
1,Personal Health Care (Millions of Dollars),State,5,Southeast,Alabama,3149,3650,4114,4554,4948,5450,5902,6471,7287,8058,9137,10314,11129,11881,12602,13446,14302,15294,15649,16211,17251,18360,19946,22252,23514,25026,26285,27342,28383,29696,30212,30826,32114,32963,34362,7.3
1,Personal Health Care (Millions of Dollars),State,8,Far West,Alaska,468,537,606,701,779,903,960,1008,1094,1177,1305,1448,1556,1654,1718,1866,2060,2221,2358,2530,2823,3225,3574,3869,4161,4663,4923,5276,5632,5900,6269,6637,7066,7303,7769,8.6
1,Personal Health Care (Millions of Dollars),State,6,Southwest,Arizona,2552,3033,3423,3895,4333,5058,5524,6188,6901,7524,8632,9532,10057,11018,11771,12507,13385,14000,15133,16280,17354,18730,20979,23040,25374,28861,31439,34111,36326,38043,39411,40052,41266,42197,44036,8.7
