city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
13,standard sport utility vehicle,15,8.0,5.7,4wd,gas,18,toyota,land cruiser wagon 4wd,a,2013
20,small sport utility vehicle,23,4.0,2.7,fwd,gas,26,toyota,venza,a,2013
19,small sport utility vehicle,21,6.0,3.5,fwd,gas,26,toyota,venza,a,2013
20,small sport utility vehicle,22,4.0,2.7,awd,gas,26,toyota,venza awd,a,2013
18,small sport utility vehicle,21,6.0,3.5,awd,gas,25,toyota,venza awd,a,2013
26,compact car,29,4.0,1.8,fwd,gas,33,toyota,corolla,a,2013
27,compact car,29,4.0,1.8,fwd,gas,33,toyota,corolla,m,2013
25,small station wagon,27,4.0,1.8,fwd,gas,31,toyota,matrix,a,2013
26,small station wagon,29,4.0,1.8,fwd,gas,32,toyota,matrix,m,2013
20,small station wagon,22,4.0,2.4,awd,gas,26,toyota,matrix,a,2013
21,small station wagon,24,4.0,2.4,fwd,gas,28,toyota,matrix,m,2013
21,small station wagon,24,4.0,2.4,fwd,gas,28,toyota,matrix,a,2013
17,small pickup truck,19,6.0,4.0,rwd,gas,21,toyota,tacoma 2wd,a,2013
16,small pickup truck,18,6.0,4.0,rwd,gas,21,toyota,tacoma 2wd,m,2013
19,small pickup truck,21,4.0,2.7,rwd,gas,24,toyota,tacoma 2wd,a,2013
21,small pickup truck,23,4.0,2.7,rwd,gas,25,toyota,tacoma 2wd,m,2013
16,small pickup truck,18,6.0,4.0,4wd,gas,21,toyota,tacoma 4wd,a,2013
16,small pickup truck,17,6.0,4.0,4wd,gas,19,toyota,tacoma 4wd,m,2013
18,small pickup truck,19,4.0,2.7,4wd,gas,21,toyota,tacoma 4wd,a,2013
18,small pickup truck,19,4.0,2.7,4wd,gas,21,toyota,tacoma 4wd,m,2013
19,minivan,21,4.0,2.7,fwd,gas,24,toyota,sienna 2wd,a,2013
18,minivan,21,6.0,3.5,fwd,gas,25,toyota,sienna 2wd,a,2013
16,minivan,19,6.0,3.5,awd,gas,23,toyota,sienna awd,a,2013
16,standard pickup truck,17,6.0,4.0,rwd,gas,20,toyota,tundra 2wd,a,2013
15,standard pickup truck,17,8.0,4.6,rwd,gas,20,toyota,tundra 2wd,a,2013
13,standard pickup truck,15,8.0,5.7,rwd,gas,18,toyota,tundra 2wd,a,2013
14,standard pickup truck,16,8.0,4.6,4wd,gas,19,toyota,tundra 4wd,a,2013
13,standard pickup truck,15,8.0,5.7,4wd,gas,17,toyota,tundra 4wd,a,2013
13,standard pickup truck,15,8.0,5.7,4wd,gas,18,toyota,tundra 4wd ffv,a,2013
20,small sport utility vehicle,22,4.0,2.7,fwd,gas,25,toyota,highlander 2wd,a,2013
18,small sport utility vehicle,20,6.0,3.5,fwd,gas,24,toyota,highlander 2wd,a,2013
16,small sport utility vehicle,18,6.0,4.0,rwd,gas,20,toyota,fj cruiser 2wd,a,2013
17,small sport utility vehicle,19,6.0,3.5,awd,gas,22,toyota,highlander 4wd,a,2013
17,small sport utility vehicle,18,6.0,4.0,4wd,gas,20,toyota,fj cruiser 4wd,a,2013
15,small sport utility vehicle,16,6.0,4.0,awd,gas,18,toyota,fj cruiser 4wd,m,2013
17,standard sport utility vehicle,19,6.0,4.0,rwd,gas,22,toyota,4runner 2wd,a,2013
13,standard sport utility vehicle,15,8.0,5.7,rwd,gas,18,toyota,sequoia 2wd,a,2013
28,standard sport utility vehicle,28,6.0,3.5,awd,gas,28,toyota,highlander hybrid 4wd,a,2013
17,standard sport utility vehicle,18,6.0,4.0,awd,gas,21,toyota,4runner 4wd,a,2013
17,standard sport utility vehicle,18,6.0,4.0,4wd,gas,21,toyota,4runner 4wd,a,2013
13,standard sport utility vehicle,14,8.0,5.7,4wd,gas,17,toyota,sequoia 4wd,a,2013
13,standard sport utility vehicle,15,8.0,5.7,4wd,gas,17,toyota,sequoia 4wd ffv,a,2013
30,compact car,32,4.0,1.5,fwd,gas,35,toyota,yaris,a,2013
30,compact car,33,4.0,1.5,fwd,gas,36,toyota,yaris,m,2013
53,compact car,50,4.0,1.5,fwd,gas,46,toyota,prius c,a,2013
49,midsize car,48,4.0,1.8,fwd,gas,46,toyota,prius,a,2013
43,midsize station wagon,41,4.0,1.8,fwd,gas,39,toyota,prius v,a,2013
51,midsize car,50,4.0,1.8,fwd,gas,49,toyota,prius plug-in hybrid,a,2013
21,midsize car,24,6.0,3.5,fwd,gas,30,toyota,avalon,a,2013
25,midsize car,28,4.0,2.5,fwd,gas,34,toyota,camry,a,2013
30,compact car,33,4.0,1.5,fwd,gas,36,toyota,yaris,m,2014
30,compact car,32,4.0,1.5,fwd,gas,35,toyota,yaris,a,2014
13,standard sport utility vehicle,15,8.0,5.7,rwd,gas,18,toyota,sequoia 2wd,a,2014
13,standard sport utility vehicle,15,8.0,5.7,4wd,gas,17,toyota,sequoia 4wd ffv,a,2014
13,standard sport utility vehicle,14,8.0,5.7,4wd,gas,17,toyota,sequoia 4wd,a,2014
16,standard pickup truck,17,6.0,4.0,rwd,gas,20,toyota,tundra 2wd,a,2014
15,standard pickup truck,17,8.0,4.6,rwd,gas,19,toyota,tundra 2wd,a,2014
